age	everyone	SEX1	SEX2	origREP	natMAL	natMALf	natMALm	natFO	natFOf	natFOm	empEMP	empEMPf	empEMPm	empUNEMP	empUNEMPf	empUNEMPm	empNILF	empNILFf	empNILFm	eduMS	eduMSf	eduMSm	eduHS	eduHSf	eduHSm	eduDIPL	eduDIPLf	eduDIPLm	eduDIPM	eduDIPMf	eduDIPMm	eduBS	eduBSf	eduBSm	eduADV	eduADVf	eduADVm	eduNC	eduNCf	eduNCm	origMALE	origMALEf	origMALEm	origAD	origADf	origADm	origNON	origNONf	origNONm
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1							1	1	1	1	1	1	1	1	1	1	1	1
15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16	0.994507442	0.993791088	0.995182381	0.994507442	0.995181153	0.993775174	0.996518106	0.902439024	1	0.882352941	0.962800875	0.970588235	0.956521739	0.973684211	0.96969697	0.976744186	0.997647981	0.995996797	0.999231951	0.98381295	0.980738363	0.987730061	1	1	1	1	1	1	0.785714286	0.714285714	0.857142857	1	1	1	1	1	1	0.997981157	0.999037999	0.997057587	0.989821883	0.987829615	0.991828396	0.997536272	0.997144489	0.997896951	0.923076923	1	0.92
17	0.988134476	0.987123009	0.989092076	0.988134476	0.988979796	0.987436333	0.990473062	0.924050633	0.833333333	0.931506849	0.973561431	0.97826087	0.969476744	0.992031873	0.98245614	1	0.992014197	0.989690722	0.994290733	0.991512637	0.991414707	0.991612657	0.952380952	0.916666667	1	0.954022989	0.921568627	1	0.971014493	0.951219512	1	1	1	1	1	1	1	0.971098266	0.951724138	0.978609626	0.985250737	0.984005563	0.986656201	0.991093366	0.990066225	0.991981672	0.97	1	0.969072165
18	0.9615896	0.933609959	0.98569857	0.9615896	0.962529644	0.935348987	0.98880597	0.948198198	0.708333333	0.961904762	0.960119269	0.9352657	0.975728155	0.959731544	0.900473934	0.992207792	0.964998554	0.940042827	0.99433606	0.970496572	0.948275862	0.992197125	0.978640777	0.972392638	0.989417989	0.952702703	0.915662651	1	0.946938776	0.905511811	0.991525424	1	1	1	1	1	1	0.916666667	0.71657754	0.96914446	0.972370487	0.961269841	0.983229814	0.947923125	0.905071521	0.986966825	0.988826816	0.95	0.99112426
19	0.905347356	0.831805248	0.970178372	0.905347356	0.902862657	0.830808895	0.974638844	0.934333959	0.883333333	0.940803383	0.925	0.868315508	0.96245583	0.935162095	0.872727273	0.978813559	0.861936721	0.783320343	0.9875467	0.891415577	0.805651672	0.974775785	0.959134615	0.944289694	0.979245283	0.86259542	0.780141844	0.958677686	0.921568627	0.88559322	0.970930233	1	1	1	1	1	1	0.889376646	0.688581315	0.957647059	0.933313217	0.898428053	0.968072289	0.860755109	0.75206044	0.971348707	0.970909091	0.943396226	0.973843058
20	0.834638816	0.686517533	0.93812038	0.834638816	0.815785441	0.685208204	0.942848503	0.915678524	0.733333333	0.927170868	0.87413761	0.755619597	0.930815877	0.879184862	0.744186047	0.96037296	0.714060032	0.587816456	0.965354331	0.809070408	0.661148474	0.948007775	0.914204004	0.861566485	0.972	0.806338028	0.68627451	0.946564885	0.822157434	0.710875332	0.957928803	0.75	0.5	1	1	1	1	0.851269649	0.475609756	0.916903409	0.874810702	0.782234957	0.947677041	0.757402101	0.562416107	0.933373713	0.923404255	0.931506849	0.92272203
21	0.750863345	0.547164267	0.898193411	0.750863345	0.72599737	0.541122914	0.897688839	0.885375494	0.731481481	0.899740709	0.806434123	0.631123919	0.886519221	0.809259259	0.620192308	0.927710843	0.58071066	0.434996486	0.959780622	0.719319862	0.514563107	0.910042837	0.838745801	0.729016787	0.93487395	0.690402477	0.544444444	0.874125874	0.755478662	0.624217119	0.917525773	0.833333333	0.8	0.857142857	1	1	1	0.784493284	0.396721311	0.873218305	0.813446718	0.674835625	0.924401914	0.629820832	0.399146862	0.858958838	0.905893536	0.876404494	0.908618899
22	0.673006584	0.412649763	0.829264214	0.673006584	0.605048042	0.400988659	0.803621958	0.855546995	0.68	0.866312347	0.735289927	0.510991957	0.81645324	0.726358149	0.483091787	0.9	0.440222898	0.280189959	0.912	0.614019322	0.399905571	0.8084012	0.736423841	0.572254335	0.875305623	0.609550562	0.372781065	0.823529412	0.624365482	0.448096886	0.874692875	0.823529412	0.785714286	0.85	0.857142857	0.75	1	0.764224314	0.257425743	0.835981308	0.735756155	0.543933054	0.859567901	0.546216287	0.268441486	0.794642857	0.818855219	0.769911504	0.822886297
23	0.558558559	0.287902388	0.738156761	0.558558559	0.478907192	0.266502328	0.682127883	0.830136986	0.676616915	0.845651081	0.625	0.379293662	0.724563811	0.631696429	0.369565217	0.814393939	0.303616913	0.158097686	0.85995086	0.493060004	0.273454869	0.695973706	0.649016641	0.410909091	0.81865285	0.455156951	0.210084034	0.735576923	0.525337838	0.327160494	0.764925373	0.852941176	0.652173913	0.955555556	0.857142857	0.785714286	1	0.673784643	0.203030303	0.756814538	0.626718109	0.408103347	0.779050736	0.41422178	0.154527559	0.679396985	0.758736559	0.854700855	0.750547046
24	0.494094488	0.237355046	0.651398337	0.494094488	0.384565161	0.207884363	0.5590449	0.772757475	0.689516129	0.780231716	0.554172316	0.325	0.637325718	0.548926014	0.266666667	0.732283465	0.251331719	0.12455516	0.81530343	0.412221541	0.218959732	0.595854922	0.587962963	0.331838565	0.722352941	0.370023419	0.168949772	0.581730769	0.427597956	0.276064611	0.636916836	0.836206897	0.673469388	0.955223881	0.838709677	0.642857143	1	0.619013581	0.189054726	0.69115192	0.555381867	0.317087846	0.696022727	0.35462754	0.13267148	0.576784101	0.689204545	0.805714286	0.676340694
25	0.416525386	0.187214612	0.551944366	0.416525386	0.292767087	0.154227557	0.436132865	0.670479303	0.571428571	0.680227341	0.46711578	0.260907889	0.539220219	0.5	0.269230769	0.659574468	0.196713388	0.086297376	0.731638418	0.320884623	0.162345941	0.473770492	0.534965035	0.262886598	0.674603175	0.297029703	0.132075472	0.479166667	0.370309951	0.223314607	0.573929961	0.808219178	0.68115942	0.922077922	0.797297297	0.666666667	0.902439024	0.514829847	0.124748491	0.586474501	0.470537634	0.253627394	0.598223437	0.291497976	0.098116513	0.474688797	0.596566524	0.761290323	0.581626682
26	0.366200943	0.172540382	0.476856384	0.366200943	0.219933647	0.123212321	0.317676487	0.630527105	0.571111111	0.63805235	0.408479139	0.244789357	0.46389431	0.436065574	0.182539683	0.61452514	0.165726013	0.075075075	0.697183099	0.255637467	0.137931034	0.37182249	0.447037702	0.202614379	0.53960396	0.237068966	0.127118644	0.350877193	0.337947883	0.244343891	0.447787611	0.757281553	0.540229885	0.915966387	0.722891566	0.5625	0.823529412	0.46823246	0.133709981	0.531899642	0.39544293	0.204903678	0.504860878	0.259187203	0.097082954	0.405427632	0.553002611	0.787709497	0.528801843
27	0.288697231	0.132075472	0.384739309	0.288697231	0.174993356	0.09451946	0.256068285	0.533963887	0.47804878	0.541409549	0.323604355	0.193091231	0.369824341	0.352941176	0.151260504	0.509803922	0.13540128	0.05523918	0.647272727	0.206505457	0.104615385	0.303169308	0.401529637	0.236486486	0.466666667	0.16367713	0.088372093	0.233766234	0.264705882	0.172166428	0.373109244	0.683673469	0.518987342	0.794871795	0.775700935	0.657142857	0.833333333	0.358941664	0.088050314	0.427828868	0.301063358	0.165247019	0.387940429	0.205370569	0.067662566	0.337116435	0.468580715	0.72	0.44634434
28	0.237118777	0.105771442	0.316899441	0.237118777	0.144658175	0.079470199	0.212579618	0.423591088	0.349881797	0.432783019	0.264553758	0.151887993	0.304011887	0.314893617	0.152173913	0.41958042	0.113109323	0.045479155	0.582706767	0.163690476	0.083440308	0.242923532	0.37964775	0.190184049	0.468390805	0.15625	0.091743119	0.209923664	0.225997046	0.128895184	0.331790123	0.606796117	0.53030303	0.642857143	0.658536585	0.387096774	0.823529412	0.285377358	0.080110497	0.34107946	0.24403631	0.120354964	0.3200409	0.167279412	0.064837905	0.26626506	0.401918977	0.621428571	0.38421659
29	0.192333113	0.090659341	0.26369918	0.192333113	0.115596565	0.068878834	0.164183007	0.407101865	0.312820513	0.422435363	0.214329757	0.134380454	0.245831184	0.352678571	0.112359551	0.511111111	0.096224678	0.037441498	0.550200803	0.135218736	0.074107546	0.193687851	0.291938998	0.177777778	0.339506173	0.148796499	0.089285714	0.206008584	0.182714177	0.111918605	0.259904913	0.502512563	0.417910448	0.545454545	0.441441441	0.324324324	0.5	0.227196793	0.060227273	0.296734501	0.199722607	0.112299465	0.266286645	0.124647123	0.044782425	0.209115282	0.360843373	0.610687023	0.339437541
